ID SPK,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,RFM_Score,RFM_Level
320,350,1,6787011,2,4,1,241,7,Loyal
321,350,1,1583001,2,4,4,244,10,Cannot Loose Them
322,350,1,3020000,2,4,3,243,9,Cannot Loose Them
323,350,1,4500000,2,4,2,242,8,Loyal
324,350,1,34045000,2,4,1,241,7,Loyal
325,350,1,9607500,2,4,1,241,7,Loyal
326,350,1,1562000,2,4,4,244,10,Cannot Loose Them
327,350,1,1661003,2,4,4,244,10,Cannot Loose Them
328,350,1,2545000,2,4,3,243,9,Cannot Loose Them
329,350,1,1500000,2,4,4,244,10,Cannot Loose Them
330,350,1,6545000,2,4,1,241,7,Loyal
331,350,1,800000,2,4,4,244,10,Cannot Loose Them
332,350,1,1700000,2,4,4,244,10,Cannot Loose Them
333,350,1,0,2,4,4,244,10,Cannot Loose Them
334,350,1,2037375,2,4,3,243,9,Cannot Loose Them
335,350,1,8008000,2,4,1,241,7,Loyal
336,350,1,4440000,2,4,2,242,8,Loyal
337,350,1,2176500,2,4,3,243,9,Cannot Loose Them
338,350,1,2580012,2,4,3,243,9,Cannot Loose Them
339,350,1,1683000,2,4,4,244,10,Cannot Loose Them
340,350,1,3850000,2,4,2,242,8,Loyal
341,350,1,10300000,2,4,1,241,7,Loyal
342,350,1,3840000,2,4,2,242,8,Loyal
343,350,1,1920000,2,4,4,244,10,Cannot Loose Them
344,350,1,800000,2,4,4,244,10,Cannot Loose Them
345,350,1,4160000,2,4,2,242,8,Loyal
346,350,1,3300000,2,4,2,242,8,Loyal
347,350,1,3872000,2,4,2,242,8,Loyal
348,350,1,3760000,2,4,2,242,8,Loyal
349,350,1,4200000,2,4,2,242,8,Loyal
350,350,1,950000,2,4,4,244,10,Cannot Loose Them
351,350,1,2050000,2,4,3,243,9,Cannot Loose Them
352,350,1,5000000,2,4,1,241,7,Loyal
353,350,1,7700000,2,4,1,241,7,Loyal
354,350,1,9800000,2,4,1,241,7,Loyal
355,1298,1,5900000,4,4,1,441,9,Cannot Loose Them
356,350,1,4600000,2,4,2,242,8,Loyal
357,350,1,3440000,2,4,2,242,8,Loyal
